Model,Train LogLik,OOS LogLik
静态 D-Vine,826.0058735016983,168.8400570518062
D-Vine + FIGAS,905.6736222603895,214.82251123784664
"D-Vine + GAS(1,1)",884.5801938047013,207.3024595761088
